city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
Acrelândia,1200013,9,58.99318,2020-04-04,,0,15256,TRUE,7,city,AC
Porto Acre,1200807,1,5.40424,2020-04-04,,0,18504,TRUE,7,city,AC
Rio Branco,1200401,36,8.83828,2020-04-04,,0,407319,TRUE,19,city,AC
,12,46,5.2158,2020-04-04,,0,881935,TRUE,19,state,AC
Importados/Indefinidos,,4,,2020-04-04,,0,,TRUE,7,city,AL
Maceió,2704302,17,1.66839,2020-04-04,0.1176,2,1018948,TRUE,25,city,AL
Marechal Deodoro,2704708,1,1.92675,2020-04-04,,0,51901,TRUE,2,city,AL
Porto Real do Colégio,2707503,1,4.98355,2020-04-04,,0,20066,TRUE,11,city,AL
,27,23,0.68917,2020-04-04,0.087,2,3337357,TRUE,25,state,AL
Anori,1300102,1,4.75964,2020-04-04,,0,21010,TRUE,7,city,AM
Boca do Acre,1300706,1,2.91477,2020-04-04,,0,34308,TRUE,10,city,AM
Careiro da Várzea,1301159,1,3.30852,2020-04-04,,0,30225,TRUE,5,city,AM
Importados/Indefinidos,,0,,2020-04-04,,5,,TRUE,8,city,AM
Itacoatiara,1301902,4,3.94723,2020-04-04,,0,101337,TRUE,7,city,AM
Manacapuru,1302504,10,10.26937,2020-04-04,0.1,1,97377,TRUE,9,city,AM
Manaus,1302603,283,12.96522,2020-04-04,0.0177,5,2182763,TRUE,19,city,AM
Novo Airão,1303205,1,5.14033,2020-04-04,,0,19454,TRUE,6,city,AM
Parintins,1303403,3,2.62529,2020-04-04,0.3333,1,114273,TRUE,13,city,AM
Santo Antônio do Içá,1303700,4,18.5168,2020-04-04,,0,21602,TRUE,10,city,AM
Tonantins,1304237,3,15.99573,2020-04-04,,0,18755,TRUE,3,city,AM
,13,311,7.50375,2020-04-04,0.0386,12,4144597,TRUE,19,state,AM
Macapá,1600303,27,5.36431,2020-04-04,0.037,1,503327,TRUE,16,city,AP
Oiapoque,1600501,1,3.66703,2020-04-04,,0,27270,TRUE,1,city,AP
,16,28,3.31075,2020-04-04,0.0357,1,845731,TRUE,16,state,AP
Adustina,2900355,1,5.86854,2020-04-04,,0,17040,TRUE,1,city,BA
Alagoinhas,2900702,4,2.63859,2020-04-04,,0,151596,TRUE,10,city,BA
Barra,2902708,1,1.86644,2020-04-04,,0,53578,TRUE,5,city,BA
Barra do Rocha,2903102,1,17.50088,2020-04-04,,0,5714,TRUE,4,city,BA
Barreiras,2903201,1,0.64334,2020-04-04,,0,155439,TRUE,14,city,BA
